session,accept,bold,bullets,numbered,list,no_shown_work,no_gold_answer,style_clean,turns,first_reply_chars,accept_cum,accept_rate_10,bold_rate_10,list_rate_10,style_clean_rate_10
34,0,1,1,0,1,0,0,0,8,1092,0,0.0,0.9,1.0,0.0
35,0,0,0,0,0,0,0,1,0,0,0,0.0,0.8,0.9,0.1
36,0,1,1,1,1,0,0,0,3,806,0,0.0,0.8,0.9,0.1
37,0,1,1,1,1,0,0,0,3,933,0,0.0,0.8,0.9,0.1
38,0,1,0,1,1,0,1,0,3,1173,0,0.0,0.8,0.9,0.1
39,0,1,1,0,1,0,0,0,3,697,0,0.0,0.8,0.9,0.1
40,0,1,1,0,1,0,0,0,8,1234,0,0.0,0.8,0.9,0.1
41,0,0,0,0,0,0,0,1,0,0,0,0.0,0.7,0.8,0.2
42,0,1,1,1,1,0,0,0,4,2898,0,0.0,0.7,0.8,0.2
43,0,1,0,1,1,0,0,0,3,928,0,0.0,0.8,0.8,0.2
44,0,1,1,1,1,0,0,0,3,842,0,0.0,0.8,0.8,0.2
45,0,1,1,1,1,0,0,0,7,833,0,0.0,0.9,0.9,0.1
46,0,1,1,0,1,0,0,0,5,1401,0,0.0,0.9,0.9,0.1
47,0,1,0,0,0,0,0,0,3,1242,0,0.0,0.9,0.8,0.1
48,0,1,1,0,1,0,0,0,3,852,0,0.0,0.9,0.8,0.1
49,0,1,1,0,1,0,0,0,3,981,0,0.0,0.9,0.8,0.1
50,0,1,1,1,1,0,0,0,3,1394,0,0.0,0.9,0.8,0.1
51,0,1,1,1,1,0,0,0,3,754,0,0.0,1.0,0.9,0.0
52,0,1,1,0,1,0,0,0,3,860,0,0.0,1.0,0.9,0.0
53,0,1,0,1,1,0,0,0,5,370,0,0.0,1.0,0.9,0.0
54,0,1,1,0,1,0,0,0,4,625,0,0.0,1.0,0.9,0.0
55,0,1,1,0,1,0,0,0,4,1432,0,0.0,1.0,0.9,0.0
56,0,1,1,0,1,0,0,0,6,1471,0,0.0,1.0,0.9,0.0
57,0,1,0,1,1,0,0,0,1,322,0,0.0,1.0,1.0,0.0
58,0,1,1,0,1,0,0,0,3,543,0,0.0,1.0,1.0,0.0
59,0,0,0,1,1,0,1,0,4,804,0,0.0,0.9,1.0,0.0
60,0,1,1,0,1,0,0,0,3,375,0,0.0,0.9,1.0,0.0
61,1,0,0,0,0,0,0,1,2,674,1,0.1,0.8,0.9,0.1
62,0,0,1,1,1,0,0,0,3,463,1,0.1,0.7,0.9,0.1
63,0,1,0,1,1,0,0,0,3,526,1,0.1,0.7,0.9,0.1
64,0,1,0,1,1,0,0,0,3,670,1,0.1,0.7,0.9,0.1
65,0,1,1,0,1,0,0,0,3,597,1,0.1,0.7,0.9,0.1
66,1,0,0,0,0,0,0,1,3,692,2,0.2,0.6,0.8,0.2
67,0,0,1,0,1,0,0,0,3,567,2,0.2,0.5,0.8,0.2
68,0,1,1,0,1,0,0,0,3,747,2,0.2,0.5,0.8,0.2
69,0,1,1,0,1,0,0,0,3,314,2,0.2,0.6,0.8,0.2
70,0,0,1,0,1,0,0,0,4,689,2,0.2,0.5,0.8,0.2
71,0,0,1,1,1,0,0,0,3,668,2,0.1,0.5,0.9,0.1
